"artifactName","deprecatedElement","numberOfElementsUsingDeprecatedElements","someElementsUsingDeprecatedElements","Source Cypher File: Java/Java_deprecated_element_usage.cypher"
"axon-eventsourcing-4.10.1","Class",6,"org.axonframework.eventsourcing.eventstore.legacyjpa.JpaEventStorageEngine$Builder,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$Cleaner,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$1,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$EventConsumer,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$EventProducer,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$Builder",""
"axon-eventsourcing-4.10.1","Method",1,"org.axonframework.eventsourcing.eventstore.AbstractEventStorageEngine$Builder.validate",""
"axon-eventsourcing-4.10.1","Interface",1,"org.axonframework.eventsourcing.eventstore.legacyjpa.JpaEventStorageEngine$Builder",""
"axon-messaging-4.10.1","Method",11,"org.axonframework.eventhandling.scheduling.quartz.QuartzEventScheduler$Builder.validate,org.axonframework.deadline.quartz.QuartzDeadlineManager$Builder.validate,org.axonframework.queryhandling.annotation.MethodQueryMessageHandlerDefinition.wrapHandler,org.axonframework.messaging.annotation.WrappedMessageHandlingMember.annotationAttributes,org.axonframework.messaging.annotation.MessageHandlerInterceptorDefinition.wrapHandler,org.axonframework.deadline.annotation.DeadlineMethodMessageHandlerDefinition.wrapHandler,org.axonframework.commandhandling.MethodCommandHandlerDefinition.wrapHandler,org.axonframework.messaging.annotation.WrappedMessageHandlingMember.hasAnnotation,org.axonframework.eventhandling.scheduling.quartz.QuartzEventScheduler$DirectEventJobDataBinder.fromJobData,org.axonframework.deadline.SimpleDeadlineManager.schedule,org.axonframework.eventhandling.SimpleEventBus$Builder.spanFactory",""
"axon-messaging-4.10.1","Class",12,"org.axonframework.tracing.NestingSpanFactory$Builder,org.axonframework.serialization.JavaSerializer$Builder,org.axonframework.queryhandling.SimpleQueryBus,org.axonframework.queryhandling.SimpleQueryUpdateEmitter,org.axonframework.queryhandling.QueryGateway,org.axonframework.queryhandling.QueryUpdateEmitter,org.axonframework.queryhandling.QueryBus,org.axonframework.queryhandling.DefaultQueryGateway,org.axonframework.eventhandling.tokenstore.legacyjpa.JpaTokenStore$Builder,org.axonframework.eventhandling.deadletter.legacyjpa.JpaSequencedDeadLetterQueue$Builder,org.axonframework.eventhandling.deadletter.legacyjpa.JpaSequencedDeadLetterQueue$1,org.axonframework.common.legacyjpa.PagingJpaQueryIterable$PagingIterator",""
"axon-messaging-4.10.1","Interface",2,"org.axonframework.eventhandling.deadletter.legacyjpa.JpaSequencedDeadLetterQueue$Builder,org.axonframework.eventhandling.tokenstore.legacyjpa.JpaTokenStore$Builder",""
"axon-modelling-4.10.1","Method",9,"org.axonframework.modelling.saga.repository.jpa.JpaSagaStore$Builder.validate,org.axonframework.modelling.saga.repository.legacyjpa.JpaSagaStore$Builder.validate,org.axonframework.modelling.saga.repository.jdbc.JdbcSagaStore$Builder.validate,org.axonframework.modelling.command.inspection.MethodCreationPolicyDefinition.wrapHandler,org.axonframework.modelling.command.inspection.ChildForwardingCommandMessageHandlingMember.annotationAttributes,org.axonframework.modelling.command.inspection.MethodCommandHandlerInterceptorDefinition.wrapHandler,org.axonframework.modelling.command.inspection.ChildForwardingCommandMessageHandlingMember.hasAnnotation,org.axonframework.modelling.saga.EndSagaMessageHandlerDefinition.wrapHandler,org.axonframework.modelling.command.inspection.AbstractChildEntityDefinition.extractCommandHandlerRoutingKeys",""
"axon-modelling-4.10.1","Interface",2,"org.axonframework.modelling.command.legacyjpa.GenericJpaRepository$Builder,org.axonframework.modelling.saga.repository.legacyjpa.JpaSagaStore$Builder",""
"axon-modelling-4.10.1","Class",2,"org.axonframework.modelling.saga.repository.legacyjpa.JpaSagaStore$Builder,org.axonframework.modelling.command.legacyjpa.GenericJpaRepository$Builder",""
"axon-server-connector-4.10.1","Class",6,"org.axonframework.axonserver.connector.event.util.GrpcExceptionParser,org.axonframework.axonserver.connector.AxonServerConfiguration$Builder,org.axonframework.axonserver.connector.AxonServerConfiguration,org.axonframework.axonserver.connector.util.TokenAddingInterceptor$1,org.axonframework.axonserver.connector.util.ContextAddingInterceptor$1,org.axonframework.axonserver.connector.query.AxonServerQueryBus",""
"axon-server-connector-4.10.1","Method",3,"org.axonframework.axonserver.connector.AxonServerConfiguration.access$800,org.axonframework.axonserver.connector.event.axon.AxonServerEventStore$Builder.buildStorageEngine,org.axonframework.axonserver.connector.event.axon.AxonServerEventScheduler$Builder.validate",""
"axon-spring-boot-autoconfigure-4.10.1","Class",1,"org.axonframework.springboot.autoconfig.AxonAutoConfiguration",""
"axon-test-4.10.1","Method",2,"org.axonframework.test.aggregate.TestExecutor.whenTimeAdvancesTo,org.axonframework.test.aggregate.TestExecutor.whenTimeElapses",""
"axon-test-4.10.1","Class",1,"org.axonframework.test.aggregate.StubAggregateLifecycleRule$1",""
